content,neg
Android No Voice not good,0.606
Worst ever experience the block me from measgeing for no reason,0.535
a constant source of frustration,0.508
The Instagram restrictions are horrible.,0.467
Suck big time! Very slow.,0.444
waste application..no proper logo also,0.412
messages are delayed. and lost possible opportunities.,0.389
I hate you guys... How will you restrict me from doing ads... What have done wrong to deserve this.,0.385
"Cannot post images, every post fails. I have uninstalled, reinstalled just useless.",0.384
"This is unfair, I can't boost my post on my business page it always says boost unavailable",0.369
Clumsy app. Not very user friendly,0.362
absolute disaster! nothing is working properly and each new update is getting worse and worse. Shame! I must go to regular facebook app to take care of my buisness. Lots of bugs!,0.328
"I'm not sure what changed with this app, but I can no longer read messages coming through. It's incredibly inconvenient.",0.328
"Seriously, how does this app keep getting worse and worse?? Everything glitches, it lags so bad, doesn't load images, doesn't save changes you made to pages sometimes,etc. It just sucks. It's so so bad I get so frustrated with it! I wish you guys could just figure out how to stop messing around with apps and just fix them. You haven't had a good update for Facebook in years, I guess we were destined for that with this app as well",0.327
"Terrible app, it's worthless to have when I can't perform any task on it. This app is seriously bugged and I refuse to pay to put ads through this when they can't even fix the small problems.",0.326
why ask something went wrong when i put my contact details. not telling about where i mistake. plz solve this problem,0.324
Poor. Posts section doesn't show post history. Messages aren't shown in phone notifications. Always miss messages from clients. Big disappointment.,0.32
struggling to post updates from my mobile,0.318
Constant crashing and very unfriendly to use.,0.318
delay info and notif not responding..,0.315
it's very helpful but very difficult to navigate,0.314
A terrible app that you unfortunately need. You either get no notifications or get the same notification over and over again even after you have cleared it. Very annoying. Locked account for no reason.,0.312
Need update show network problem any time,0.31
no stable the app function,0.297
"It has no dark mode option, hurts the eyes after a while, specially in the dark",0.29
Not many good features according to me,0.286
Very bad experience with this new updated version when upload a post no time shown on this app.,0.285
Hard to use. Not clear how to post Reels in IG,0.285
"Fails to upload for scheduled posts, messes up timing for scheduled posts, force stops all the time, layout is terrible. Come on.",0.283
App doesn't work anymore?? Now online version of my business page won't allow me to schedule future posts for the holiday?!! Facebook is a mess. Too many updates... useless items.. stop with the endless updates!!! Nothing works currently. Good work!!,0.281
"Useful for quick overview, but refreshing or synchronization of messages doesn't work well and it's really annoying.",0.28
It has stopped editing my products,0.275
booking appointments never works and it is really annoying,0.272
the message section doesn't work well. it cuts off before I receive it all,0.267
"What a glitchy, slow, confusing, cluttered nightmare of a program this is. I wish I could give you negative stars.",0.263
Easy to use. There are some errors with posting. No links to Facebook.,0.263
promote your business with ad isn't free,0.262
"Incredibly buggy. Currently it seems entirely broken. I can't view post likes, usually it just says ""can't load"" or ""retry"". I'm forced back onto desktop now to manage pages",0.259
"i dont know why my page manager not working properly, always internet problem, and also no sms.",0.259
"It's nice for answering messages and tracking comments, but not great for responding to those comments. And 9 times out of 10, when I try to make a post from the app, it fails. Pretty useless overall!",0.256
really hard to navigate can't change the photos can't just promote a bad got to go through with the difficult way,0.253
When i opne Instagram insight crash and app get close,0.252
not much easier as it was as page,0.25
"I had lots of problems with pages manager. But so many more problems with business suite. If I wasn't already set up here, I would definitely look for something different. Horrible. Changed from pages manager to business suite. Still having problems. Keep reporting, but never fixed.",0.248
The time stamps are now missing. App feels like it's falling apart,0.248
"This app does my head in, but is 'required' to access page messages. 🙄 1. Messages constantly fail to expand to read the full message. 2. Constant notifications about there being unread messages, but when I go into check messages there are no missed messages & all have been responded to. 3. EXTREMELY DIFFICULT to switch from responding as your page to profile or switching from 1 page to another. Hate it.",0.247
Notifications is not working. I can't view my notifications via Business Suite or Facebook. WTH?,0.241
notifications for messages seem to be extremely delayed,0.239
There is no option to edit/crop photo And no option for shedule post upto 180 daysh,0.239
"Sucks, if there was a - star rating, I'd use it",0.238
Protests and boycott raceist bigot hypocrite facebook Management teams bums doodybals buttwipes nobody's black lives matter rotten communist trator social path power trip gold digger supporters.,0.231
This newer version makes it more difficult to post events. Hard to include photos and description,0.23
Very bad and missing options for android but it is better in ios,0.23
"I used to love this app, but lately it's been really lagging with messages and not showing messages at all. To add insult to injury, the app is giving me a bad rating on timely responses when I can even get to them. It's costing me top rating, please fix it. I use it daily so I'd miss it if it were gone altogether.",0.228
"I do not like the update as it makes it difficult to even upload a post. Now, I cannot even open the app without it claiming a network error. Definitely isn't a user error as I have tried both on and off wifi.",0.224
This is simply awful. The notifications come up with this weird logo that has nothing to do with Facebook.,0.223
"Update is not Good, It hide timing of Post's..",0.22
It's hard to work at times...,0.219
I can't do have the stuff through the Facebook website . Useless app.,0.219
This app has no functionality. Its not good for aphone at all. I can't even edit my page. Trash app.,0.213
"Pretty terrible in just about every way possible. From notifications that don't update, my unread message count is never 0 even though I've read and responded to all messages, posts won't display previews, the UI is a confusing mess, just terrible all around.",0.213
