reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,sortOrder,appId
gp:AOqpTOEvI1fT_I0OHb1j_STAbq7J0YyyWBbYEPPAt2l1Bu0Gj-lfaEe1N7fkD6iG2zG8jr67myq1l2otFnrXIA,B. Sirolli,https://play-lh.googleusercontent.com/a/AATXAJx2Plb2qR-foZ3nzj_XjlRsIjoyhZecuxJRYZaV=mo,"Please STOP updating this app! Every time you do, it messes things up. I scheduled posts for Facebook and Instagram tonight and the ""best times"" suggestions are back, separate ones for each platform this time. What a mess! Instagram scheduled, Facebook isn't showing up at all...but I learned from last time that doesn't mean it's not going to post. Tags don't work. Reach is almost non-existent. You want businesses to pay for ads, but that's not much better!",1,228,335.1.0.36.116,2021-11-14 07:47:29,,,most_relevant,com.facebook.pages.app
gp:AOqpTOHtXtuyx0314KYBujjprSMdqUrEmgy1n7GJEtoOvcKB0tA6IifRo_NkMO8elzAf6QD7MNssm4Dpwd_WMw,Christopher Payne,https://play-lh.googleusercontent.com/a/AATXAJyUp-vWWRs1MZ3MuK4sK9BSmZHJQZ4Evw_nehny=mo,"Every update makes this app worse! So frustrating! Now post show no details or heading when you try to click on them. Continuously force closes. Videos won't play after posting them. Plus several other issues and bugs. 8 months ago this app was great! Leave it to Facebook and their amazing team to ""update"" it into the ground.",1,6,335.1.0.36.116,2021-11-30 09:14:46,,,most_relevant,com.facebook.pages.app
gp:AOqpTOEal407dxkw2kBjh-kPJ9ZIv-gvWaPCLjSFUpzQAJzMtyFuHhL2Z0FZSlJGP7rtfO5xNgHAahh71tIGqA,Jason R,https://play-lh.googleusercontent.com/a-/AOh14GhsADm_ApatH5uOOaldRlFa2gkl_hIoUnq_XAB_,"Inconvenience it absolutely does not make posting to a page easier. In fact it makes things twice as complicated as it wants to constantly post in different locations/platforms. Wants to turn everything into a useless Instagram video. Posts out of sequence, omits post details. FB needs to stop over complicating things by trying to reinvent the wheel.",1,0,335.1.0.36.116,2021-11-30 21:03:49,,,most_relevant,com.facebook.pages.app
gp:AOqpTOGtIclKXJst7XQ3FcAYUmbfZ1OkGWPsrxbL7dUmJi04l7VQ8i6OIMCgOWW88KCp0uxoKlyuYXxeh7zWWw,April Goodwin,https://play-lh.googleusercontent.com/a-/AOh14GgBBIu2pCOKyWkuIPSH7R-58AEdu47GFYCLxFjkCA,"WHY was this changed so much?! Can't see the date/time of posts, if post is too long and has a ""see more"" link, when you click on it you can't see anything that was written, let alone the additional text. If you click on someone who commented or reacted you can't see their FB profile page anymore. You can't see who shared a post. And I'm still constantly having to force stop the app so it will fully load. Congratulations, you made it worse without making anything better.",1,22,335.1.0.36.116,2021-11-23 02:38:55,,,most_relevant,com.facebook.pages.app
gp:AOqpTOFNniDSHYpzgabI2rwkvil6YNtcvcpi9AbKl4Jee38PPAF07tygNgLyfLLN2WgVpC4H5fWKED6hKNQ9CQ,Cooter Bob,https://play-lh.googleusercontent.com/a/AATXAJwVm5FYbThVeRkNqXJ9QokIpHZZivt9Heco03AB=mo,"Facebook is limiting the amount of invites I am able to send out to people who have liked my posts. Pages likes are very crucial in the success of a page, and Facebook is limiting that success. Not a fan. It would be nice to be able to have just one button to send invites rather than having to go through all of the notifications for post likes.",1,9,335.1.0.36.116,2021-11-27 17:04:32,,,most_relevant,com.facebook.pages.app
gp:AOqpTOElKFRDt5SFUH4U_1SlOlMYrI2MpGEVTaKiLYDGnW3BGQq6LlIYzuKves7xfiIzVkeBQxnsPFWRpMbaxQ,Patrick DaCosta,https://play-lh.googleusercontent.com/a-/AOh14GjAzKhBCK22sxbJ4iAUYrUFDVv4vilFCDmLQ057UA,"BEYOND TERRIBLE, and constantly going from bad to worse! Ever since Page Manager changed to this things have been awful. Can no longer view visitor posts in Business Suite, forcing me to have to constantly go back and forth between it and Facebook. With latest ""updates"", you can't view text in shared posts or extended text in my own posts (can only see included images, videos) and now the stamp showing when a post was shared/submitted has disappeared. PLEASE FIX OR BRING BACK PAGES MANAGER!!!!!!",1,18,335.1.0.36.116,2021-11-17 16:07:42,,,most_relevant,com.facebook.pages.app
gp:AOqpTOGnpRiMa2F80YNaRF4s24Vty22jg7ea3Wja6-3S1gbdevoKoAEOXEpuOx4Srm1l8_tuAMy_1i_8sTLllQ,Leah Bowling,https://play-lh.googleusercontent.com/a/AATXAJyjGaMv3zWQ7PQV_XCcdUjZouM0dyVPg5vlD-HX=mo,"After the last update nothing works or loads. When I post it never shows me it has posted I have to manually check to make sure. My recent posts will not load on the home page, I am still seeing last months posts on the top. I have reached out to tech support but no reply or change.",1,3,335.1.0.36.116,2021-11-23 03:31:13,,,most_relevant,com.facebook.pages.app
gp:AOqpTOHkZ8AnWLWl62vZIb_X_BZLdVnVTxDNqEAwX0EQU_-8RCNBZkmfHn0JLe4bh32YD742ZLXw046--nuc3A,Ron H,https://play-lh.googleusercontent.com/a/AATXAJw9GOzo9Ef18cTonDVrdr2bcWO61zhTw1zSJoPJ=mo,App doesn't work anymore?? Now online version of my business page won't allow me to schedule future posts for the holiday?!! Facebook is a mess. Too many updates... useless items.. stop with the endless updates!!! Nothing works currently. Good work!!,1,1,335.1.0.36.116,2021-11-23 19:31:12,,,most_relevant,com.facebook.pages.app
gp:AOqpTOHXBoB-h0q54DK5WW2NmLVJg5_UKjZMy_7edQS1SHC0MXSJKPyn-con1nVIV_z9YQHk3AvkK0bqGrrcOg,Ginga Ninja,https://play-lh.googleusercontent.com/a-/AOh14GiOxCoGbamcMRoWliEGOVVi3iUBjOt-Id4UusRUcg,"Edit 11/12/21: The issues I mentioned in my previous review had been fixed, but now I can't schedule or direct post stories at all, and unless I'm on a computer only half of my posts get scheduled. This app was working ok (I could overlook most of the issues), but now I can't even message clients from my business page when they comment asking for more info on an ad or post. I literally have to wait for them to message my page or FB switches me back to my personal account.",1,47,335.1.0.36.116,2021-11-13 01:50:58,,,most_relevant,com.facebook.pages.app
gp:AOqpTOHEgOlrOr-4IxnHNQbQ1xd_lqExtYJL1FAGnRRP8ZnGC-LQo4G6InYeFNy-Ay1RF5XhVh3s68xxReRieA,Brandon Paul,https://play-lh.googleusercontent.com/a-/AOh14GjWMjH4CSwN03-nJbH-sa3cJVbwCmV0FYu3eB58cQI,"it is not user friendly - has errors, does not save updated information & the platform is not directly connected to the FB app, causing you to use this ""business suite"" which in ny opinion offers nothing special outside of analytics... more storage space now being used on my phone, another platform the business now HAS to use/learn & we would rather just disconnect from Facebook & send all traffic to our websites & public chat forums so FB doesn't continue to document & notated all of our work",1,3,335.1.0.36.116,2021-11-25 19:41:35,,,most_relevant,com.facebook.pages.app
